cap;5.3.2023;;;;;ice;5.3.2023;;;;;temp;5.3.2023;;;;
;1798340.105;1970420.65;2257646.939;2498433.295;2627530.33;;0.268078748;0.271233332;0.275868071;0.279272403;0.280950294;;-0.669685485;-0.733769352;-0.840735401;-0.930407932;-0.978486114
;1722321.194;1878953.389;2146780.639;2379441.373;2510829.092;;0.262677726;0.265695097;0.270257095;0.27373152;0.275529323;;-0.641375733;-0.699706309;-0.799447461;-0.886093376;-0.935024347
;1645848.303;1788117.713;2037224.823;2261281.133;2394150.943;;0.253670703;0.256566906;0.261063703;0.26461257;0.266537379;;-0.612897017;-0.665878619;-0.758647784;-0.842088822;-0.891571448
;1569075.907;1698038.403;1929151.481;2144213.838;2277797.711;;0.251487727;0.254258736;0.258682153;0.262296531;0.264343321;;-0.584306863;-0.632332744;-0.718400409;-0.798491556;-0.848239815
;1492320.115;1609024.492;1822945.935;2028732.212;2162307.552;;0.248692223;0.251357931;0.255719473;0.259406533;0.261584531;;-0.555722991;-0.599183763;-0.678848817;-0.75548506;-0.805229855
;1416033.864;1521530.444;1719152.636;1915501.827;2048400.176;;0.255215651;0.257763995;0.262049625;0.265794737;0.268093338;;-0.52731407;-0.566600912;-0.640195751;-0.713317183;-0.762809587
;1340423.989;1435721.328;1617963.708;1804805.102;1936418.583;;0.256643101;0.259102285;0.263331322;0.267147464;0.269580373;;-0.499157124;-0.534645653;-0.602512741;-0.672093081;-0.721106729
;1265405.498;1351431.024;1519174.295;1696485.363;1826262.779;;0.261630142;0.263999249;0.268167895;0.272049212;0.274613496;;-0.471220497;-0.503256114;-0.565723482;-0.631754387;-0.680084027
;1191207.386;1268849.592;1422993.264;1590832.385;1718283.528;;0.26778254;0.270072284;0.274186821;0.278135756;0.280835611;;-0.443589463;-0.472503064;-0.52990574;-0.592408998;-0.639872093
;1117875.916;1187963.761;1329387.415;1487866.055;1612557.25;;0.273939597;0.276159729;0.280226339;0.284245509;0.287085247;;-0.416281246;-0.442381554;-0.495047137;-0.554064301;-0.600499368
;1045314.673;1108607.584;1238145.66;1387405.025;1508950.975;;0.278259647;0.280420928;0.284447383;0.288541262;0.291526974;;-0.389259936;-0.412829778;-0.46106905;-0.516652745;-0.561916318
;973250.9883;1030431.323;1148848.976;1289033.982;1407085.493;;0.278622944;0.280744239;0.284745872;0.288926049;0.292070387;;-0.362423992;-0.383717489;-0.427815425;-0.480019654;-0.523981713
;901533.6937;953225.9757;1061242.966;1192513.339;1306756.848;;0.279417138;0.281508701;0.285494613;0.289768478;0.293080944;;-0.335717115;-0.354966849;-0.395191517;-0.444075794;-0.486619586
;830256.209;877049.9802;975377.0319;1097933.481;1208100.038;;0.281391617;0.283461871;0.287440669;0.291816013;0.295306852;;-0.309174094;-0.326599617;-0.363215712;-0.408854812;-0.449880202
;759314.0667;801753.412;891066.044;1005124.151;1110977.353;;0.279427422;0.281495581;0.285486215;0.28998063;0.293669184;;-0.282756022;-0.298559958;-0.331819063;-0.374293295;-0.413712265
;688195.2068;726763.3062;807658.912;913402.0711;1014711.256;;0.269494376;0.271602181;0.275644222;0.280294364;0.28421741;;-0.256272213;-0.270634501;-0.300759102;-0.340136787;-0.377863457
;616548.0211;651687.0029;724714.8615;822314.0802;918858.7684;;0.258949217;0.261133028;0.265263927;0.270107569;0.274304555;;-0.229591732;-0.242677023;-0.269871685;-0.306216529;-0.342168811
;544596.0463;576737.4587;642463.6828;732140.1673;823743.5915;;0.252578292;0.254866268;0.259119936;0.264195373;0.268708235;;-0.202797821;-0.214766825;-0.239242379;-0.27263678;-0.306748864
