cap;5.1.2023;6.1.2023;7.1.2023;8.1.2023;;ice;5.1.2023;6.1.2023;7.1.2023;8.1.2023;temp;5.1.2023;;;
;832748.0867;1021296.241;1245320.708;1372268.443;;;0.237943928;0.245609997;0.252883211;0.256385824;;-0.310102043;-0.380315654;-0.463741006;-0.511015916
;726774.3929;894259.9876;1101439.212;1229838.305;;;0.240305276;0.248209504;0.255959565;0.259986196;;-0.270638629;-0.333008457;-0.410160323;-0.457975429
;623029.9943;770886.3326;961514.7806;1090159.453;;;0.24262772;0.250889494;0.25924498;0.263898946;;-0.232005531;-0.287065401;-0.358053528;-0.405959816
;521519.2116;651147.9734;825601.0937;953387.6777;;;0.244069453;0.252860094;0.262005308;0.267428003;;-0.194204344;-0.242476296;-0.307440578;-0.355027066
;422169.4566;534936.4448;693653.8332;819563.3196;;;0.24335407;0.252932337;0.263144783;0.269537549;;-0.157208025;-0.199200725;-0.258304937;-0.305192175
;324415.903;421605.3728;565025.0389;688091.054;;;0.232436393;0.243417323;0.255256958;0.262997386;;-0.120806231;-0.156997969;-0.210405285;-0.256233427
;229359.9914;310680.2658;439253.3913;558510.746;;;0.216987221;0.230384224;0.244913538;0.254632476;;-0.084834095;-0.115691318;-0.16356981;-0.207979455
;149851.4555;206726.4595;317012.1226;431419.856;;;0.200799866;0.215790767;0.234510146;0.247370617;;-0.049400966;-0.075477403;-0.118049191;-0.160652726
;87851.7049;124624.4794;203165.9122;306988.6779;;;0.169085508;0.187434955;0.210304772;0.228418139;;-0.014392539;-0.036246226;-0.073959669;-0.114316635
;42313.40318;63982.01395;115318.9383;191425.0356;;;0.109751719;0.138576867;0.171210331;0.195679004;;0.02061083;0.002377168;-0.031060877;-0.068858323
;13207.54528;23580.78043;53967.64421;104006.3034;;;0;0.044239065;0.114476296;0.154772025;;0.055645976;0.040734604;0.010341987;-0.024466513
;351.7560976;3511.514165;18426.03134;45405.36739;;;0;0;0.013787861;0.09467274;;0.092761602;0.077129851;0.047611261;0.017761362
;0;0;1412.459627;13823.92899;;;0;0;0;0;;0.129726651;0.11425654;0.085495267;0.054622796
;0;0;0;313.8595257;;;0;0;0;0;;0.16654788;0.151190466;0.12337688;0.093162627
;0;0;0;0;;;0;0;0;0;;0.203230195;0.187947253;0.160981319;0.131366551
;0;0;0;0;;;0;0;0;0;;0.239777225;0.224537822;0.198333169;0.16927054
